CLGOLLP,,,,,,,,,,,,,
S.NO.,E,G,F,P,VP,TOTAL,,,E %,G %,F %,P %,VP %
1,166,163,29,2,0,360,3.37,,46.11,45.28,8.06,0.56,0
2,163,174,23,0,0,360,3.39,,45.28,48.33,6.39,0.00,0
3,147,190,20,3,0,360,3.34,,40.83,52.78,5.56,0.83,0
4,153,178,29,0,0,360,3.34,,42.50,49.44,8.06,0.00,0
5,150,187,23,0,0,360,3.35,,41.67,51.94,6.39,0.00,0
Communication,,,,,,,,,,,,,
6,161,170,29,0,0,360,3.37,,44.72,47.22,8.06,0.00,0
7,166,180,14,0,0,360,3.42,,46.11,50.00,3.89,0.00,0
8,166,171,23,0,0,360,3.40,,46.11,47.50,6.39,0.00,0
9,159,174,27,0,0,360,3.37,,44.17,48.33,7.50,0.00,0
10,163,175,22,0,0,360,3.39,,45.28,48.61,6.11,0.00,0
Customer,,,,,,,,,,,,,
11,149,190,21,0,0,360,3.36,,41.39,52.78,5.83,0.00,0
12,137,197,26,0,0,360,3.31,,38.06,54.72,7.22,0.00,0
13,150,196,13,1,0,360,3.38,,41.67,54.44,3.61,0.28,0
14,129,206,23,1,1,359,3.29,,35.93,57.38,6.41,0.28,0.28
15,134,205,17,3,1,359,3.31,,37.33,57.10,4.74,0.84,0.28
Management,,,,,,,,,,,,,
16,152,187,21,0,0,360,3.36,,42.22,51.94,5.83,0.00,0
17,142,197,20,1,0,360,3.33,,39.44,54.72,5.56,0.28,0
18,135,198,27,0,0,360,3.30,,37.50,55.00,7.50,0.00,0
19,143,194,23,0,0,360,3.33,,39.72,53.89,6.39,0.00,0
20,139,201,20,0,0,360,3.33,,38.61,55.83,5.56,0.00,0
Department,,,,,,,,,,,,,
21,143,186,31,0,0,360,3.31,,39.72,51.67,8.61,0.00,0
22,143,191,26,0,0,360,3.33,,39.72,53.06,7.22,0.00,0
23,133,194,30,0,3,357,3.29,,37.25,54.34,8.40,0.00,0.84
24,129,207,24,0,0,360,3.29,,35.83,57.50,6.67,0.00,0
25,145,193,22,0,0,360,3.34,,40.28,53.61,6.11,0.00,0
Teamwork,,,,,,,,,,,,,
26,146,191,23,0,0,360,3.34,,40.56,53.06,6.39,0.00,0
27,145,195,16,4,0,360,3.34,,40.28,54.17,4.44,1.11,0
28,148,188,24,0,0,360,3.34,,41.11,52.22,6.67,0.00,0
29,158,180,20,2,0,360,3.37,,43.89,50.00,5.56,0.56,0
Procedures,,,,,,,,,,,,,
30,136,200,23,0,1,359,3.31,,37.88,55.71,6.41,0.00,0.28
31,136,187,34,3,0,360,3.27,,37.78,51.94,9.44,0.83,0
32,134,175,34,17,0,360,3.18,,37.22,48.61,9.44,4.72,0
33,111,223,24,2,0,360,3.23,,30.83,61.94,6.67,0.56,0
Equality,,,,,,,,,,,,,
34,129,213,18,0,0,360,3.31,,35.83,59.17,5.00,0.00,0
35,130,196,28,6,0,360,3.25,,36.11,54.44,7.78,1.67,0
36,155,177,25,0,3,357,3.36,,43.42,49.58,7.00,0.00,0.84
37,132,196,31,1,0,360,3.28,,36.67,54.44,8.61,0.28,0
38,140,196,24,0,0,360,3.32,,38.89,54.44,6.67,0.00,0
39,155,182,23,0,0,360,3.37,,43.06,50.56,6.39,0.00,0
Appraisals,,,,,,,,,,,,,
40,130,204,24,2,0,360,3.28,,36.11,56.67,6.67,0.56,0
41,130,201,28,1,0,360,3.28,,36.11,55.83,7.78,0.28,0
42,125,216,19,0,0,360,3.29,,34.72,60.00,5.28,0.00,0
43,151,174,28,7,0,360,3.30,,41.94,48.33,7.78,1.94,0
Compensation,,,,,,,,,,,,,
44,139,196,23,2,0,360,3.31,,38.61,54.44,6.39,0.56,0
45,150,195,15,0,0,360,3.38,,41.67,54.17,4.17,0.00,0
46,142,194,23,1,0,360,3.33,,39.44,53.89,6.39,0.28,0
47,154,186,19,1,0,360,3.37,,42.78,51.67,5.28,0.28,0
Benefits,,,,,,,,,,,,,
48,125,213,20,2,0,360,3.28,,34.72,59.17,5.56,0.56,0
49,114,211,31,4,0,360,3.21,,31.67,58.61,8.61,1.11,0
50,147,188,23,2,0,360,3.33,,40.83,52.22,6.39,0.56,0
Job Security,,,,,,,,,,,,,
51,128,185,38,4,5,355,3.23,,36.06,52.11,10.70,1.13,1.41
52,131,204,24,1,0,360,3.29,,36.39,56.67,6.67,0.28,0.0
53,139,197,17,4,3,357,3.32,,38.94,55.18,4.76,1.12,0.84
Work  Life,,,,,,,,,,,,,
54,144,185,29,0,2,358,3.32,,40.22,51.68,8.10,0.00,0.56
55,144,188,28,0,0,360,3.32,,40.00,52.22,7.78,0.00,0
56,145,197,18,0,0,360,3.35,,40.28,54.72,5.00,0.00,0
Recognition,,,,,,,,,,,,,
57,146,172,40,2,0,360,3.28,,40.56,47.78,11.11,0.56,0
58,157,180,23,0,0,360,3.37,,43.61,50.00,6.39,0.00,0
59,160,183,17,0,0,360,3.40,,44.44,50.83,4.72,0.00,0
60,159,184,15,2,0,360,3.39,,44.17,51.11,4.17,0.56,0
Respect,,,,,,,,,,,,,
61,166,178,16,0,0,360,3.42,,46.11,49.44,4.44,0.00,0
62,140,190,30,0,0,360,3.31,,38.89,52.78,8.33,0.00,0
63,159,177,24,0,0,360,3.38,,44.17,49.17,6.67,0.00,0
64,153,186,21,0,0,360,3.37,,42.50,51.67,5.83,0.00,0
Individual Development,,,,,,,,,,,,,
65,127,204,29,0,0,360,3.27,,35.28,56.67,8.06,0.00,0
66,127,214,19,0,0,360,3.30,,35.28,59.44,5.28,0.00,0
67,141,194,24,1,0,360,3.32,,39.17,53.89,6.67,0.28,0
68,137,193,30,0,0,360,3.30,,38.06,53.61,8.33,0.00,0
Satisfaction,,,,,,,,,,,,,
69,135,199,20,0,6,354,3.32,,38.14,56.21,5.65,0.00,1.7
70,152,191,17,0,0,360,3.38,,42.22,53.06,4.72,0.00,0
71,147,193,20,0,0,360,3.35,,40.83,53.61,5.56,0.00,0
Resources,,,,,,,,,,,,,
72,148,202,10,0,0,360,3.38,,41.11,56.11,2.78,0.00,0
73,147,187,26,0,0,360,3.34,,40.83,51.94,7.22,0.00,0
74,137,205,18,0,0,360,3.33,,38.06,56.94,5.00,0.00,0
75,149,180,31,0,0,360,3.33,,41.39,50.00,8.61,0.00,0
Training,,,,,,,,,,,,,
76,136,193,31,0,0,360,3.29,,37.78,53.61,8.61,0.00,0
77,145,192,23,0,0,360,3.34,,40.28,53.33,6.39,0.00,0
78,135,192,33,0,0,360,3.28,,37.50,53.33,9.17,0.00,0
